station,target,lead,unit,mu_cal,sigma_cal,mu_raw,sigma_raw,max_real,win_mkt,hit_cal,hit_raw,pwin_cal,pwin_raw,crps_cal,crps_raw
EDDM,2026-05-10,1,C,23.33,1.18,21.97,1.59,23.0,23°C,1.0,0.0,0.317,0.201,0.312,0.631
EDDM,2026-05-10,2,C,23.46,1.62,22.07,2.15,23.0,23°C,0.0,0.0,0.233,0.167,0.43,0.662
EDDM,2026-05-10,3,C,23.24,1.9,21.73,2.45,23.0,23°C,0.0,0.0,0.206,0.142,0.457,0.829
EGLC,2026-05-10,1,C,13.76,0.87,13.6,1.13,13.0,13°C,0.0,0.0,0.31,0.299,0.45,0.388
EGLC,2026-05-10,2,C,16.38,1.12,16.23,1.36,13.0,13°C,0.0,0.0,0.005,0.019,2.745,2.472
EGLC,2026-05-10,3,C,15.6,1.46,15.37,1.81,13.0,13°C,0.0,0.0,0.058,0.095,1.822,1.507
KLGA,2026-05-10,1,F,74.17,1.72,73.27,2.58,73.0,72-73°F,0.0,1.0,0.288,0.289,0.708,0.614
KLGA,2026-05-10,2,F,74.8,2.87,74.13,4.33,73.0,72-73°F,0.0,0.0,0.2,0.17,1.107,1.129
KLGA,2026-05-10,3,F,75.26,3.59,74.7,5.29,73.0,72-73°F,0.0,0.0,0.165,0.138,1.389,1.452
KORD,2026-05-10,1,F,65.89,1.59,64.1,1.81,64.0,>= 64°F,1.0,1.0,0.934,0.63,1.176,0.425
KORD,2026-05-10,2,F,63.84,2.72,61.97,3.41,64.0,>= 64°F,1.0,1.0,0.55,0.327,0.639,1.265
KORD,2026-05-10,3,F,62.89,3.32,61.07,3.88,64.0,>= 64°F,1.0,1.0,0.427,0.265,0.923,1.75
LEMD,2026-05-10,1,C,14.71,0.78,14.6,1.0,16.0,16°C,0.0,0.0,0.143,0.155,0.886,0.91
LEMD,2026-05-10,2,C,16.3,1.1,16.1,1.39,16.0,16°C,1.0,1.0,0.34,0.28,0.289,0.328
LEMD,2026-05-10,3,C,17.05,1.11,16.83,1.4,16.0,16°C,0.0,0.0,0.228,0.235,0.631,0.52
LFPB,2026-05-10,1,C,17.77,0.8,17.23,1.12,18.0,18°C,1.0,0.0,0.453,0.277,0.213,0.463
LFPB,2026-05-10,2,C,17.65,0.97,17.27,1.39,18.0,18°C,1.0,0.0,0.371,0.246,0.276,0.476
LFPB,2026-05-10,3,C,19.36,1.47,18.67,2.06,18.0,18°C,0.0,0.0,0.176,0.182,0.814,0.567
LIMC,2026-05-10,1,C,16.74,0.66,16.03,1.1,16.0,16°C,0.0,1.0,0.328,0.35,0.454,0.258
LIMC,2026-05-10,2,C,16.89,0.97,16.13,1.42,16.0,16°C,0.0,1.0,0.267,0.273,0.534,0.338
LIMC,2026-05-10,3,C,16.84,1.15,16.17,1.56,16.0,16°C,0.0,1.0,0.261,0.25,0.506,0.372
RCSS,2026-05-10,2,C,28.12,2.88,27.7,3.07,29.0,29°C,0.0,0.0,0.132,0.118,0.78,0.933
RCSS,2026-05-10,3,C,27.64,3.02,27.13,3.13,29.0,29°C,0.0,0.0,0.119,0.106,0.947,1.163
RJTT,2026-05-10,2,C,22.65,1.16,22.5,1.83,25.0,>= 25°C,0.0,0.0,0.055,0.137,1.716,1.612
RJTT,2026-05-10,3,C,23.2,1.29,23.13,1.74,25.0,>= 25°C,0.0,0.0,0.156,0.216,1.171,1.137
RKSI,2026-05-10,2,C,20.46,2.42,17.47,3.27,22.0,>= 22°C,1.0,0.0,0.334,0.109,0.944,2.935
RKSI,2026-05-10,3,C,20.72,2.69,17.7,3.43,22.0,>= 22°C,1.0,1.0,0.385,0.134,0.869,2.708
ZBAA,2026-05-10,2,C,32.55,1.57,32.6,1.85,33.0,33°C,1.0,1.0,0.24,0.208,0.418,0.468
ZBAA,2026-05-10,3,C,32.54,2.14,32.67,2.2,33.0,33°C,1.0,1.0,0.181,0.178,0.539,0.534
ZSPD,2026-05-10,2,C,23.35,1.22,22.23,1.6,24.0,24°C,0.0,0.0,0.278,0.136,0.421,1.081
ZSPD,2026-05-10,3,C,23.3,1.49,22.2,1.72,24.0,24°C,0.0,0.0,0.237,0.134,0.478,1.092
EDDM,2026-05-11,1,C,17.84,0.96,17.23,1.32,19.0,>= 19°C,0.0,0.0,0.247,0.169,0.721,1.133
EDDM,2026-05-11,2,C,18.3,1.58,17.37,1.99,19.0,>= 19°C,1.0,1.0,0.45,0.284,0.49,0.972
EDDM,2026-05-11,3,C,16.55,1.86,15.63,2.46,19.0,>= 19°C,0.0,0.0,0.148,0.122,1.559,2.173
EGLC,2026-05-11,1,C,12.17,0.7,11.9,0.88,12.0,12°C,1.0,1.0,0.51,0.426,0.181,0.211
EGLC,2026-05-11,2,C,13.36,1.06,13.2,1.28,12.0,12°C,0.0,0.0,0.168,0.2,0.865,0.718
EGLC,2026-05-11,3,C,13.04,1.54,12.57,1.87,12.0,12°C,0.0,0.0,0.204,0.201,0.63,0.506
KLGA,2026-05-11,1,F,63.26,1.43,61.8,1.96,61.0,60-61°F,0.0,0.0,0.105,0.319,1.523,0.587
KLGA,2026-05-11,2,F,64.93,2.51,63.53,3.5,61.0,60-61°F,0.0,0.0,0.07,0.156,2.64,1.517
KLGA,2026-05-11,3,F,67.68,2.94,66.4,3.78,61.0,60-61°F,0.0,0.0,0.015,0.063,5.045,3.528
KORD,2026-05-11,1,F,57.51,1.53,55.77,1.57,55.0,54-55°F,0.0,0.0,0.09,0.358,1.711,0.515
KORD,2026-05-11,2,F,56.83,2.63,55.2,3.11,55.0,54-55°F,0.0,1.0,0.204,0.246,1.103,0.732
KORD,2026-05-11,3,F,58.71,3.37,56.77,4.04,55.0,54-55°F,0.0,0.0,0.109,0.168,2.27,1.249
LEMD,2026-05-11,1,C,18.78,0.76,18.57,0.97,19.0,19°C,1.0,1.0,0.472,0.359,0.203,0.303
LEMD,2026-05-11,2,C,19.23,1.0,19.0,1.27,19.0,19°C,1.0,1.0,0.373,0.305,0.255,0.298
LEMD,2026-05-11,3,C,19.48,1.3,19.17,1.64,19.0,19°C,1.0,1.0,0.281,0.238,0.373,0.391
LFPB,2026-05-11,1,C,14.52,0.78,14.27,1.16,14.0,14°C,0.0,1.0,0.396,0.325,0.314,0.296
LFPB,2026-05-11,2,C,14.88,1.02,14.53,1.46,14.0,14°C,0.0,0.0,0.267,0.251,0.522,0.419
LFPB,2026-05-11,3,C,15.24,1.13,14.87,1.57,14.0,14°C,0.0,0.0,0.195,0.215,0.757,0.553
LIMC,2026-05-11,1,C,19.02,0.9,18.27,1.71,21.0,21°C,0.0,0.0,0.048,0.067,1.478,1.847
LIMC,2026-05-11,2,C,19.28,0.97,18.47,1.43,21.0,21°C,0.0,0.0,0.094,0.061,1.199,1.77
LIMC,2026-05-11,3,C,19.69,1.33,18.53,1.99,21.0,21°C,0.0,0.0,0.184,0.093,0.791,1.55
RCSS,2026-05-11,2,C,27.81,2.91,27.3,3.1,28.0,28°C,1.0,0.0,0.136,0.125,0.685,0.787
RCSS,2026-05-11,3,C,27.47,2.86,26.97,2.89,28.0,28°C,0.0,0.0,0.137,0.129,0.706,0.821
RJTT,2026-05-11,2,C,23.42,1.1,23.37,1.66,24.0,24°C,0.0,0.0,0.309,0.22,0.375,0.484
RJTT,2026-05-11,3,C,23.34,1.3,23.27,1.75,24.0,24°C,0.0,0.0,0.266,0.206,0.433,0.53
RKSI,2026-05-11,2,C,18.96,1.96,16.27,2.53,20.0,20°C,0.0,0.0,0.175,0.053,0.674,2.464
RKSI,2026-05-11,3,C,19.41,2.38,16.67,2.71,20.0,20°C,0.0,0.0,0.161,0.069,0.614,2.091
ZBAA,2026-05-11,2,C,30.98,1.58,30.87,1.89,31.0,31°C,1.0,1.0,0.248,0.208,0.369,0.445
ZBAA,2026-05-11,3,C,32.12,2.13,32.13,2.14,31.0,31°C,0.0,0.0,0.162,0.161,0.726,0.734
ZSPD,2026-05-11,2,C,26.85,1.21,25.63,1.56,29.0,29°C,0.0,0.0,0.072,0.027,1.505,2.503
ZSPD,2026-05-11,3,C,26.59,1.51,25.37,2.21,29.0,29°C,0.0,0.0,0.076,0.047,1.628,2.481
EDDM,2026-05-12,1,C,9.38,0.92,9.4,1.26,10.0,10°C,0.0,0.0,0.336,0.276,0.375,0.407
EDDM,2026-05-12,2,C,10.24,1.38,10.03,1.78,10.0,10°C,1.0,1.0,0.278,0.221,0.34,0.417
EDDM,2026-05-12,3,C,10.06,1.57,9.87,1.97,10.0,10°C,1.0,1.0,0.25,0.2,0.368,0.463
EGLC,2026-05-12,1,C,16.23,0.68,16.0,0.85,17.0,17°C,0.0,0.0,0.314,0.239,0.475,0.621
EGLC,2026-05-12,2,C,15.97,1.03,15.77,1.26,17.0,17°C,0.0,0.0,0.234,0.196,0.622,0.741
EGLC,2026-05-12,3,C,16.58,1.23,16.27,1.47,17.0,17°C,1.0,0.0,0.299,0.237,0.344,0.486
KLGA,2026-05-12,1,F,68.5,1.54,67.27,2.2,67.0,66-67°F,0.0,1.0,0.233,0.332,0.899,0.526
KLGA,2026-05-12,2,F,67.18,2.44,65.9,3.34,67.0,66-67°F,1.0,1.0,0.307,0.232,0.575,0.924
KLGA,2026-05-12,3,F,67.6,2.98,66.23,3.87,67.0,66-67°F,0.0,1.0,0.246,0.203,0.743,0.966
KORD,2026-05-12,1,F,73.71,1.55,72.0,1.69,71.0,>= 64°F,1.0,1.0,1.0,1.0,1.886,0.624
KORD,2026-05-12,2,F,74.05,2.92,72.23,4.01,71.0,>= 64°F,1.0,1.0,1.0,0.985,1.849,1.086
KORD,2026-05-12,3,F,71.07,3.29,69.53,3.76,71.0,>= 64°F,1.0,1.0,0.989,0.946,0.769,1.105
LEMD,2026-05-12,1,C,17.36,0.83,17.23,1.06,18.0,18°C,0.0,0.0,0.349,0.284,0.38,0.46
LEMD,2026-05-12,2,C,17.64,1.02,17.5,1.29,18.0,18°C,1.0,0.0,0.356,0.28,0.288,0.378
LEMD,2026-05-12,3,C,17.86,1.67,17.73,2.17,18.0,18°C,1.0,0.0,0.234,0.181,0.396,0.519
LFPB,2026-05-12,1,C,15.53,0.81,15.13,1.18,16.0,16°C,1.0,0.0,0.397,0.254,0.297,0.519
LFPB,2026-05-12,2,C,15.49,1.12,15.13,1.62,16.0,16°C,0.0,0.0,0.312,0.211,0.354,0.559
LFPB,2026-05-12,3,C,15.68,1.17,15.33,1.65,16.0,16°C,1.0,0.0,0.32,0.22,0.308,0.491
LIMC,2026-05-12,1,C,20.63,0.82,19.7,1.42,20.0,20°C,0.0,1.0,0.353,0.269,0.376,0.357
LIMC,2026-05-12,2,C,19.55,1.07,18.73,1.71,20.0,20°C,1.0,0.0,0.331,0.176,0.324,0.758
LIMC,2026-05-12,3,C,20.23,1.4,19.17,2.16,20.0,20°C,1.0,0.0,0.275,0.17,0.342,0.631
RCSS,2026-05-12,2,C,26.7,2.65,26.13,2.73,32.0,>= 29°C,1.0,1.0,0.248,0.193,3.851,4.357
RCSS,2026-05-12,3,C,26.33,2.86,25.7,2.88,32.0,>= 29°C,1.0,1.0,0.224,0.165,4.106,4.705
RJTT,2026-05-12,2,C,23.95,1.06,23.93,1.53,25.0,>= 25°C,0.0,1.0,0.302,0.356,0.631,0.643
RJTT,2026-05-12,3,C,24.01,1.29,24.03,1.76,25.0,>= 25°C,1.0,1.0,0.352,0.395,0.591,0.618
RKSI,2026-05-12,2,C,19.51,2.19,16.63,2.79,22.0,21°C,0.0,0.0,0.144,0.042,1.535,3.852
RKSI,2026-05-12,3,C,19.45,2.38,16.83,2.59,22.0,21°C,0.0,0.0,0.135,0.043,1.551,3.751
ZBAA,2026-05-12,2,C,33.1,1.66,33.3,2.28,33.0,33°C,1.0,1.0,0.237,0.172,0.39,0.55
ZBAA,2026-05-12,3,C,33.2,2.19,33.4,2.51,33.0,33°C,1.0,1.0,0.18,0.156,0.518,0.613
ZSPD,2026-05-12,2,C,28.78,1.3,27.17,2.64,28.0,28°C,0.0,0.0,0.253,0.143,0.483,0.721
ZSPD,2026-05-12,3,C,28.61,1.57,26.97,2.88,28.0,28°C,0.0,0.0,0.233,0.129,0.46,0.82
EDDM,2026-05-13,1,C,14.17,0.95,13.73,1.3,14.0,14°C,1.0,1.0,0.394,0.294,0.235,0.325
EDDM,2026-05-13,2,C,13.37,1.38,13.07,1.78,14.0,14°C,0.0,0.0,0.256,0.193,0.434,0.607
EDDM,2026-05-13,3,C,13.66,1.56,13.3,1.95,14.0,14°C,1.0,0.0,0.246,0.19,0.394,0.555
EGLC,2026-05-13,1,C,12.73,0.76,12.43,0.94,13.0,13°C,1.0,0.0,0.466,0.344,0.214,0.352
EGLC,2026-05-13,2,C,13.43,1.37,13.0,1.72,13.0,13°C,1.0,1.0,0.273,0.228,0.373,0.403
EGLC,2026-05-13,3,C,13.25,1.24,13.0,1.5,13.0,13°C,1.0,1.0,0.308,0.261,0.309,0.35
KLGA,2026-05-13,1,F,73.42,1.68,72.63,2.63,71.0,70-71°F,0.0,0.0,0.117,0.217,1.585,1.005
KLGA,2026-05-13,2,F,72.48,2.75,71.77,4.12,71.0,70-71°F,0.0,0.0,0.222,0.183,0.953,1.02
KLGA,2026-05-13,3,F,66.03,3.05,65.03,4.12,71.0,70-71°F,0.0,0.0,0.091,0.081,3.381,3.917
KORD,2026-05-13,1,F,61.86,1.53,60.27,1.6,58.0,58-59°F,0.0,0.0,0.059,0.274,3.003,1.48
KORD,2026-05-13,2,F,62.4,2.64,60.7,3.16,58.0,58-59°F,0.0,0.0,0.105,0.197,3.015,1.607
KORD,2026-05-13,3,F,60.44,3.74,59.0,5.2,58.0,58-59°F,0.0,0.0,0.185,0.152,1.487,1.292
LEMD,2026-05-13,1,C,20.57,0.83,20.27,1.05,21.0,21°C,1.0,0.0,0.402,0.292,0.281,0.442
LEMD,2026-05-13,2,C,19.67,1.0,19.47,1.28,21.0,21°C,0.0,0.0,0.17,0.153,0.849,0.956
LEMD,2026-05-13,3,C,19.69,1.2,19.53,1.51,21.0,21°C,0.0,0.0,0.183,0.165,0.804,0.88
LFPB,2026-05-13,1,C,14.76,0.9,14.37,1.3,14.0,14°C,0.0,1.0,0.304,0.288,0.454,0.345
LFPB,2026-05-13,2,C,14.61,1.08,14.17,1.5,14.0,14°C,0.0,1.0,0.309,0.259,0.384,0.358
LFPB,2026-05-13,3,C,14.83,1.1,14.57,1.55,14.0,14°C,0.0,0.0,0.269,0.237,0.494,0.444
LIMC,2026-05-13,1,C,19.82,0.75,18.93,1.27,19.0,19°C,0.0,0.0,0.296,0.306,0.501,0.298
LIMC,2026-05-13,2,C,19.76,1.08,18.8,1.66,19.0,19°C,0.0,0.0,0.283,0.235,0.459,0.398
LIMC,2026-05-13,3,C,19.06,1.33,17.97,2.13,19.0,19°C,0.0,0.0,0.293,0.166,0.312,0.693
RCSS,2026-05-13,2,C,26.79,2.7,26.17,2.8,30.0,>= 28°C,1.0,1.0,0.396,0.317,2.0,2.474
RCSS,2026-05-13,3,C,24.98,2.84,24.07,2.87,30.0,>= 28°C,1.0,0.0,0.188,0.116,3.503,4.355
RJTT,2026-05-13,2,C,26.12,1.14,26.43,1.81,26.0,>= 26°C,1.0,1.0,0.708,0.697,0.272,0.465
RJTT,2026-05-13,3,C,24.72,1.44,24.97,2.26,26.0,>= 26°C,1.0,1.0,0.295,0.407,0.761,0.713
RKSI,2026-05-13,2,C,19.12,2.13,16.5,2.51,21.0,20°C,0.0,0.0,0.171,0.06,1.122,3.158
RKSI,2026-05-13,3,C,19.46,2.44,16.57,2.81,21.0,20°C,0.0,0.0,0.158,0.068,0.945,2.985
ZBAA,2026-05-13,2,C,34.62,1.72,35.07,2.48,33.0,33°C,0.0,0.0,0.149,0.113,0.968,1.229
ZBAA,2026-05-13,3,C,34.89,2.2,35.3,2.52,33.0,33°C,0.0,0.0,0.125,0.104,1.122,1.373
ZSPD,2026-05-13,2,C,26.7,1.28,25.27,2.26,26.0,26°C,0.0,0.0,0.264,0.166,0.449,0.622
ZSPD,2026-05-13,3,C,25.7,1.51,24.43,1.97,26.0,26°C,1.0,0.0,0.255,0.147,0.376,0.933
EDDM,2026-05-14,1,C,13.19,0.99,12.73,1.35,13.0,13°C,1.0,0.0,0.381,0.284,0.245,0.336
EDDM,2026-05-14,2,C,13.17,1.89,12.3,2.5,13.0,13°C,0.0,0.0,0.208,0.152,0.449,0.663
EDDM,2026-05-14,3,C,11.88,1.96,11.27,2.61,13.0,13°C,0.0,0.0,0.172,0.122,0.707,1.053
EGLC,2026-05-14,1,C,11.75,0.91,11.5,1.15,12.0,12°C,1.0,0.0,0.405,0.307,0.239,0.354
EGLC,2026-05-14,2,C,13.01,1.05,12.73,1.27,12.0,12°C,0.0,0.0,0.238,0.261,0.608,0.461
EGLC,2026-05-14,3,C,13.91,1.23,13.77,1.47,12.0,12°C,0.0,0.0,0.1,0.133,1.281,1.101
KLGA,2026-05-14,1,F,68.28,1.43,67.0,1.96,67.0,66-67°F,0.0,1.0,0.267,0.379,0.763,0.458
KLGA,2026-05-14,2,F,67.14,2.91,65.83,4.36,67.0,66-67°F,1.0,1.0,0.263,0.179,0.683,1.143
KLGA,2026-05-14,3,F,67.17,3.06,65.53,4.11,67.0,66-67°F,1.0,1.0,0.25,0.187,0.719,1.168
KORD,2026-05-14,1,F,68.77,1.52,67.2,1.58,66.0,>= 56°F,1.0,1.0,1.0,1.0,1.953,0.716
KORD,2026-05-14,2,F,67.65,2.66,66.13,3.25,66.0,>= 56°F,1.0,1.0,1.0,0.999,1.017,0.762
KORD,2026-05-14,3,F,68.5,3.27,66.83,3.68,66.0,>= 56°F,1.0,1.0,1.0,0.999,1.492,0.934
LEMD,2026-05-14,1,C,21.86,0.97,21.5,1.23,21.0,21°C,0.0,1.0,0.274,0.292,0.513,0.367
LEMD,2026-05-14,2,C,21.47,1.11,21.2,1.42,21.0,21°C,1.0,1.0,0.319,0.272,0.338,0.344
LEMD,2026-05-14,3,C,21.34,1.2,21.1,1.53,21.0,21°C,1.0,1.0,0.312,0.256,0.319,0.36
LFPB,2026-05-14,1,C,11.83,0.68,11.67,1.01,12.0,12°C,1.0,1.0,0.522,0.36,0.176,0.28
LFPB,2026-05-14,2,C,12.42,1.17,12.0,1.62,12.0,12°C,1.0,1.0,0.311,0.242,0.333,0.379
LFPB,2026-05-14,3,C,11.5,1.08,11.33,1.51,12.0,12°C,1.0,0.0,0.324,0.236,0.341,0.468
LIMC,2026-05-14,1,C,17.78,0.85,16.9,1.52,18.0,18°C,1.0,0.0,0.431,0.201,0.221,0.659
LIMC,2026-05-14,2,C,17.73,1.58,16.23,2.69,18.0,18°C,1.0,0.0,0.244,0.119,0.389,1.076
LIMC,2026-05-14,3,C,16.16,1.17,15.4,1.61,18.0,18°C,0.0,0.0,0.103,0.069,1.239,1.763
RCSS,2026-05-14,2,C,24.74,2.85,23.73,3.0,26.0,26°C,0.0,0.0,0.126,0.1,0.887,1.353
RCSS,2026-05-14,3,C,25.31,2.96,24.43,3.02,26.0,26°C,0.0,0.0,0.13,0.115,0.757,1.023
RJTT,2026-05-14,2,C,23.7,1.02,23.53,1.41,24.0,24°C,1.0,1.0,0.361,0.262,0.274,0.391
RJTT,2026-05-14,3,C,25.55,1.26,25.73,1.65,24.0,24°C,0.0,0.0,0.151,0.139,0.97,1.052
RKSI,2026-05-14,2,C,24.42,2.14,22.53,2.94,26.0,26°C,0.0,0.0,0.141,0.068,0.946,2.152
RKSI,2026-05-14,3,C,25.06,3.03,22.57,3.89,26.0,26°C,0.0,0.0,0.125,0.069,0.824,2.045
ZBAA,2026-05-14,2,C,34.43,1.72,34.83,2.51,30.0,<= 33°C,1.0,1.0,0.296,0.297,3.459,3.471
ZBAA,2026-05-14,3,C,35.31,2.2,35.7,2.56,30.0,<= 33°C,1.0,1.0,0.205,0.195,4.081,4.28
ZSPD,2026-05-14,2,C,25.23,1.24,23.87,2.02,24.0,24°C,0.0,0.0,0.197,0.195,0.737,0.475
ZSPD,2026-05-14,3,C,25.21,1.53,23.77,2.32,24.0,24°C,0.0,0.0,0.189,0.17,0.723,0.551
EDDM,2026-05-15,1,C,14.2,1.01,13.67,1.36,15.0,15°C,0.0,0.0,0.285,0.181,0.475,0.801
EDDM,2026-05-15,2,C,14.02,1.47,13.53,1.87,15.0,15°C,0.0,0.0,0.215,0.156,0.594,0.874
EDDM,2026-05-15,3,C,12.95,1.55,12.7,1.94,15.0,15°C,0.0,0.0,0.109,0.102,1.308,1.43
EGLC,2026-05-15,1,C,14.62,0.75,14.33,0.96,14.0,14°C,0.0,1.0,0.369,0.376,0.368,0.27
EGLC,2026-05-15,2,C,13.69,1.2,13.3,1.46,14.0,14°C,1.0,0.0,0.313,0.24,0.312,0.473
EGLC,2026-05-15,3,C,13.87,1.39,13.47,1.66,14.0,14°C,1.0,0.0,0.279,0.225,0.33,0.456
KLGA,2026-05-15,1,F,68.48,1.43,67.17,1.95,65.0,64-65°F,0.0,0.0,0.018,0.166,2.68,1.331
KLGA,2026-05-15,2,F,67.77,2.41,66.5,3.29,65.0,64-65°F,0.0,0.0,0.135,0.2,1.71,1.037
KLGA,2026-05-15,3,F,65.95,3.16,64.53,4.3,65.0,64-65°F,0.0,1.0,0.224,0.184,0.852,1.025
KORD,2026-05-15,1,F,75.59,1.57,73.97,1.75,75.0,>= 74°F,1.0,1.0,0.908,0.605,0.453,0.646
KORD,2026-05-15,2,F,73.89,2.97,72.37,4.29,75.0,>= 74°F,1.0,1.0,0.553,0.396,0.857,1.628
KORD,2026-05-15,3,F,73.04,3.38,71.7,4.15,75.0,>= 74°F,1.0,1.0,0.446,0.332,1.232,1.965
LEMD,2026-05-15,1,C,16.52,0.79,16.37,1.0,17.0,17°C,1.0,0.0,0.405,0.318,0.295,0.389
LEMD,2026-05-15,2,C,16.67,1.03,16.5,1.3,17.0,17°C,1.0,0.0,0.356,0.279,0.281,0.38
LEMD,2026-05-15,3,C,16.54,1.21,16.37,1.54,17.0,17°C,1.0,0.0,0.299,0.235,0.352,0.462
LFPB,2026-05-15,1,C,13.04,0.6,12.8,0.88,13.0,13°C,1.0,1.0,0.593,0.421,0.141,0.224
LFPB,2026-05-15,2,C,13.45,0.97,13.13,1.37,13.0,13°C,1.0,1.0,0.358,0.284,0.308,0.324
LFPB,2026-05-15,3,C,13.2,1.08,12.97,1.51,13.0,13°C,1.0,1.0,0.351,0.259,0.267,0.354
LIMC,2026-05-15,1,C,13.56,0.67,12.97,1.13,13.0,13°C,0.0,1.0,0.408,0.342,0.334,0.264
LIMC,2026-05-15,2,C,16.05,1.16,14.9,1.88,13.0,13°C,0.0,0.0,0.013,0.127,2.397,1.146
LIMC,2026-05-15,3,C,15.34,1.22,14.37,1.74,13.0,13°C,0.0,0.0,0.056,0.168,1.679,0.814
RCSS,2026-05-15,2,C,26.26,2.76,25.5,2.88,28.0,28°C,0.0,0.0,0.118,0.095,1.069,1.488
RCSS,2026-05-15,3,C,26.93,2.9,26.33,2.94,28.0,28°C,0.0,0.0,0.128,0.115,0.835,1.054
RJTT,2026-05-15,2,C,24.46,1.04,24.43,1.46,22.0,22°C,0.0,0.0,0.027,0.07,1.881,1.668
RJTT,2026-05-15,3,C,24.42,1.4,24.3,2.04,22.0,22°C,0.0,0.0,0.066,0.104,1.682,1.414
RKSI,2026-05-15,2,C,23.72,2.48,21.13,3.49,25.0,>= 26°C,1.0,0.0,0.237,0.105,0.837,2.37
RKSI,2026-05-15,3,C,23.46,2.57,21.03,3.33,25.0,>= 26°C,1.0,0.0,0.213,0.09,0.958,2.468
ZBAA,2026-05-15,2,C,31.28,1.87,31.47,3.07,24.0,<= 31°C,1.0,1.0,0.546,0.504,6.227,5.751
ZBAA,2026-05-15,3,C,32.1,2.39,32.4,3.4,24.0,<= 31°C,1.0,1.0,0.4,0.396,6.756,6.497
ZSPD,2026-05-15,2,C,24.32,1.22,23.1,1.63,24.0,24°C,1.0,0.0,0.308,0.208,0.318,0.574
ZSPD,2026-05-15,3,C,24.24,1.49,23.07,1.73,24.0,24°C,1.0,0.0,0.26,0.198,0.363,0.6
EDDM,2026-05-16,1,C,12.77,0.92,12.47,1.27,13.0,13°C,1.0,0.0,0.4,0.282,0.24,0.384
EDDM,2026-05-16,2,C,12.85,1.42,12.43,1.81,13.0,13°C,1.0,0.0,0.274,0.207,0.337,0.494
EDDM,2026-05-16,3,C,13.03,1.57,12.67,1.96,13.0,13°C,1.0,1.0,0.249,0.198,0.368,0.481
EGLC,2026-05-16,1,C,15.19,0.76,14.97,0.97,15.0,15°C,1.0,1.0,0.475,0.395,0.197,0.226
EGLC,2026-05-16,2,C,14.33,1.11,14.0,1.35,15.0,15°C,0.0,0.0,0.294,0.223,0.414,0.598
EGLC,2026-05-16,3,C,14.55,1.25,14.23,1.49,15.0,15°C,1.0,0.0,0.292,0.231,0.356,0.503
KLGA,2026-05-16,1,F,79.44,1.9,78.9,3.1,77.0,76-77°F,0.0,0.0,0.135,0.189,1.547,1.175
KLGA,2026-05-16,2,F,78.25,3.21,77.87,5.12,77.0,76-77°F,0.0,0.0,0.212,0.149,0.942,1.255
KLGA,2026-05-16,3,F,77.32,3.19,76.8,4.54,77.0,76-77°F,1.0,1.0,0.238,0.174,0.758,1.064
KORD,2026-05-16,1,F,84.37,1.53,82.77,1.6,83.0,>= 56°F,1.0,1.0,1.0,1.0,0.817,0.387
KORD,2026-05-16,2,F,83.15,2.71,81.6,3.41,83.0,>= 56°F,1.0,1.0,1.0,1.0,0.637,1.023
KORD,2026-05-16,3,F,82.56,3.29,81.07,3.76,83.0,>= 56°F,1.0,1.0,1.0,1.0,0.792,1.265
LEMD,2026-05-16,1,C,19.82,0.94,19.53,1.18,20.0,20°C,1.0,1.0,0.4,0.305,0.232,0.348
LEMD,2026-05-16,2,C,19.99,1.24,19.67,1.55,20.0,20°C,1.0,1.0,0.314,0.248,0.289,0.391
LEMD,2026-05-16,3,C,19.8,1.16,19.53,1.47,20.0,20°C,1.0,1.0,0.329,0.254,0.285,0.401
LFPB,2026-05-16,1,C,15.43,0.78,15.03,1.11,16.0,16°C,0.0,0.0,0.38,0.244,0.34,0.575
LFPB,2026-05-16,2,C,15.43,1.06,15.1,1.52,16.0,16°C,0.0,0.0,0.317,0.217,0.368,0.562
LFPB,2026-05-16,3,C,14.93,1.2,14.5,1.66,16.0,16°C,0.0,0.0,0.223,0.159,0.635,0.895
LIMC,2026-05-16,1,C,21.1,0.77,20.27,1.35,22.0,22°C,0.0,0.0,0.266,0.132,0.561,1.099
LIMC,2026-05-16,2,C,20.75,1.06,19.87,1.66,22.0,22°C,0.0,0.0,0.189,0.106,0.779,1.354
LIMC,2026-05-16,3,C,21.16,1.35,20.07,2.01,22.0,22°C,0.0,0.0,0.241,0.125,0.515,1.16
RCSS,2026-05-16,2,C,27.98,2.7,27.6,2.8,30.0,30°C,0.0,0.0,0.111,0.099,1.208,1.428
RCSS,2026-05-16,3,C,27.89,2.87,27.5,2.9,30.0,30°C,0.0,0.0,0.106,0.095,1.262,1.488
RJTT,2026-05-16,2,C,25.35,1.15,25.53,1.85,25.0,25°C,1.0,0.0,0.322,0.205,0.31,0.493
RJTT,2026-05-16,3,C,25.87,1.28,26.03,1.7,25.0,25°C,0.0,0.0,0.244,0.193,0.526,0.64
RKSI,2026-05-16,2,C,23.28,2.84,20.43,3.74,25.0,24°C,0.0,0.0,0.135,0.068,1.069,2.859
RKSI,2026-05-16,3,C,23.33,2.95,20.57,3.66,25.0,24°C,0.0,0.0,0.131,0.07,1.056,2.77
ZBAA,2026-05-16,2,C,26.28,1.83,25.83,2.98,22.0,<= 25°C,1.0,1.0,0.335,0.455,3.257,2.432
