capture_utc,station,target,model,unit,tmax
2026-07-13T02:48:23+00:00,EFHK,2026-07-14,meteofrance,C,24.9
2026-07-13T02:48:23+00:00,EFHK,2026-07-15,ecmwf,C,26.1
2026-07-13T02:48:23+00:00,EFHK,2026-07-15,gefs,C,28.0
2026-07-13T02:48:23+00:00,EFHK,2026-07-15,gem,C,25.5
2026-07-13T02:48:23+00:00,EFHK,2026-07-15,icon,C,25.8
2026-07-13T02:48:23+00:00,EFHK,2026-07-15,meteofrance,C,25.8
2026-07-13T02:48:23+00:00,EGLC,2026-07-12,ecmwf,C,29.0
2026-07-13T02:48:23+00:00,EGLC,2026-07-12,gefs,C,28.7
2026-07-13T02:48:23+00:00,EGLC,2026-07-12,icon,C,28.1
2026-07-13T02:48:23+00:00,EGLC,2026-07-12,jma,C,26.0
2026-07-13T02:48:23+00:00,EGLC,2026-07-12,meteofrance,C,28.9
2026-07-13T02:48:23+00:00,EGLC,2026-07-13,ecmwf,C,27.5
2026-07-13T02:48:23+00:00,EGLC,2026-07-13,gefs,C,28.1
2026-07-13T02:48:23+00:00,EGLC,2026-07-13,icon,C,26.6
2026-07-13T02:48:23+00:00,EGLC,2026-07-13,jma,C,23.9
2026-07-13T02:48:23+00:00,EGLC,2026-07-13,meteofrance,C,27.9
2026-07-13T02:48:23+00:00,EGLC,2026-07-14,ecmwf,C,29.4
2026-07-13T02:48:23+00:00,EGLC,2026-07-14,gefs,C,30.9
2026-07-13T02:48:23+00:00,EGLC,2026-07-14,icon,C,30.3
2026-07-13T02:48:23+00:00,EGLC,2026-07-14,jma,C,26.3
2026-07-13T02:48:23+00:00,EGLC,2026-07-14,meteofrance,C,31.2
2026-07-13T02:48:23+00:00,EGLC,2026-07-15,ecmwf,C,28.9
2026-07-13T02:48:23+00:00,EGLC,2026-07-15,gefs,C,28.1
2026-07-13T02:48:23+00:00,EGLC,2026-07-15,icon,C,28.9
2026-07-13T02:48:23+00:00,EGLC,2026-07-15,jma,C,27.7
2026-07-13T02:48:23+00:00,EGLC,2026-07-15,meteofrance,C,29.4
2026-07-13T02:48:23+00:00,KATL,2026-07-12,ecmwf,F,82.6
2026-07-13T02:48:23+00:00,KATL,2026-07-12,gefs,F,88.5
2026-07-13T02:48:23+00:00,KATL,2026-07-12,jma,F,82.5
2026-07-13T02:48:23+00:00,KATL,2026-07-12,knmi,F,87.6
2026-07-13T02:48:23+00:00,KATL,2026-07-13,ecmwf,F,79.2
2026-07-13T02:48:23+00:00,KATL,2026-07-13,gefs,F,84.6
2026-07-13T02:48:23+00:00,KATL,2026-07-13,jma,F,83.0
2026-07-13T02:48:23+00:00,KATL,2026-07-13,knmi,F,80.2
2026-07-13T02:48:23+00:00,KATL,2026-07-14,ecmwf,F,78.5
2026-07-13T02:48:23+00:00,KATL,2026-07-14,gefs,F,79.9
2026-07-13T02:48:23+00:00,KATL,2026-07-14,jma,F,79.5
2026-07-13T02:48:23+00:00,KATL,2026-07-14,knmi,F,79.4
2026-07-13T02:48:23+00:00,KDAL,2026-07-12,ecmwf,F,97.2
2026-07-13T02:48:23+00:00,KDAL,2026-07-12,gefs,F,96.6
2026-07-13T02:48:23+00:00,KDAL,2026-07-12,gem,F,94.7
2026-07-13T02:48:23+00:00,KDAL,2026-07-12,icon,F,96.0
2026-07-13T02:48:23+00:00,KDAL,2026-07-12,jma,F,91.4
2026-07-13T02:48:23+00:00,KDAL,2026-07-12,knmi,F,97.0
2026-07-13T02:48:23+00:00,KDAL,2026-07-12,meteofrance,F,94.3
2026-07-13T02:48:23+00:00,KDAL,2026-07-12,ukmo,F,92.7
2026-07-13T02:48:23+00:00,KDAL,2026-07-13,ecmwf,F,84.6
2026-07-13T02:48:23+00:00,KDAL,2026-07-13,gefs,F,84.0
2026-07-13T02:48:23+00:00,KDAL,2026-07-13,gem,F,80.3
2026-07-13T02:48:23+00:00,KDAL,2026-07-13,icon,F,83.3
2026-07-13T02:48:23+00:00,KDAL,2026-07-13,jma,F,84.7
2026-07-13T02:48:23+00:00,KDAL,2026-07-13,knmi,F,85.2
2026-07-13T02:48:23+00:00,KDAL,2026-07-13,meteofrance,F,85.3
2026-07-13T02:48:23+00:00,KDAL,2026-07-13,ukmo,F,87.4
2026-07-13T02:48:23+00:00,KDAL,2026-07-14,ecmwf,F,81.6
2026-07-13T02:48:23+00:00,KDAL,2026-07-14,gefs,F,87.7
2026-07-13T02:48:23+00:00,KDAL,2026-07-14,gem,F,83.2
2026-07-13T02:48:23+00:00,KDAL,2026-07-14,icon,F,85.3
2026-07-13T02:48:23+00:00,KDAL,2026-07-14,jma,F,88.4
2026-07-13T02:48:23+00:00,KDAL,2026-07-14,knmi,F,83.1
2026-07-13T02:48:23+00:00,KDAL,2026-07-14,meteofrance,F,81.6
2026-07-13T02:48:23+00:00,KDAL,2026-07-14,ukmo,F,93.2
2026-07-13T02:48:23+00:00,KHOU,2026-07-12,ecmwf,F,89.4
2026-07-13T02:48:23+00:00,KHOU,2026-07-12,gefs,F,94.0
2026-07-13T02:48:23+00:00,KHOU,2026-07-12,icon,F,92.3
2026-07-13T02:48:23+00:00,KHOU,2026-07-13,ecmwf,F,85.0
2026-07-13T02:48:23+00:00,KHOU,2026-07-13,gefs,F,87.7
2026-07-13T02:48:23+00:00,KHOU,2026-07-13,icon,F,87.7
2026-07-13T02:48:23+00:00,KHOU,2026-07-14,ecmwf,F,83.0
2026-07-13T02:48:23+00:00,KHOU,2026-07-14,gefs,F,85.0
2026-07-13T02:48:23+00:00,KHOU,2026-07-14,icon,F,84.2
2026-07-13T02:48:23+00:00,KLAX,2026-07-12,ecmwf,F,81.1
2026-07-13T02:48:23+00:00,KLAX,2026-07-12,gefs,F,75.8
2026-07-13T02:48:23+00:00,KLAX,2026-07-12,gem,F,78.5
2026-07-13T02:48:23+00:00,KLAX,2026-07-12,icon,F,77.2
2026-07-13T02:48:23+00:00,KLAX,2026-07-12,jma,F,76.6
2026-07-13T02:48:23+00:00,KLAX,2026-07-12,knmi,F,77.6
2026-07-13T02:48:23+00:00,KLAX,2026-07-12,meteofrance,F,74.1
2026-07-13T02:48:23+00:00,KLAX,2026-07-12,ukmo,F,75.8
2026-07-13T02:48:23+00:00,KLAX,2026-07-13,ecmwf,F,88.1
2026-07-13T02:48:23+00:00,KLAX,2026-07-13,gefs,F,76.4
2026-07-13T02:48:23+00:00,KLAX,2026-07-13,gem,F,84.2
2026-07-13T02:48:23+00:00,KLAX,2026-07-13,icon,F,82.3
2026-07-13T02:48:23+00:00,KLAX,2026-07-13,jma,F,76.4
2026-07-13T02:48:23+00:00,KLAX,2026-07-13,knmi,F,75.9
2026-07-13T02:48:23+00:00,KLAX,2026-07-13,meteofrance,F,74.6
2026-07-13T02:48:23+00:00,KLAX,2026-07-13,ukmo,F,74.7
2026-07-13T02:48:23+00:00,KLAX,2026-07-14,ecmwf,F,91.1
2026-07-13T02:48:23+00:00,KLAX,2026-07-14,gefs,F,75.6
2026-07-13T02:48:23+00:00,KLAX,2026-07-14,gem,F,82.2
2026-07-13T02:48:23+00:00,KLAX,2026-07-14,icon,F,81.7
2026-07-13T02:48:23+00:00,KLAX,2026-07-14,jma,F,82.4
2026-07-13T02:48:23+00:00,KLAX,2026-07-14,knmi,F,75.8
2026-07-13T02:48:23+00:00,KLAX,2026-07-14,meteofrance,F,73.8
2026-07-13T02:48:23+00:00,KLAX,2026-07-14,ukmo,F,75.7
2026-07-13T02:48:23+00:00,KLGA,2026-07-12,gefs,F,85.9
2026-07-13T02:48:23+00:00,KLGA,2026-07-12,jma,F,83.8
2026-07-13T02:48:23+00:00,KLGA,2026-07-12,ukmo,F,85.4
2026-07-13T02:48:23+00:00,KLGA,2026-07-13,gefs,F,87.5
2026-07-13T02:48:23+00:00,KLGA,2026-07-13,jma,F,86.1
2026-07-13T02:48:23+00:00,KLGA,2026-07-13,ukmo,F,83.8
2026-07-13T02:48:23+00:00,KLGA,2026-07-14,gefs,F,95.6
2026-07-13T02:48:23+00:00,KLGA,2026-07-14,jma,F,94.6
2026-07-13T02:48:23+00:00,KLGA,2026-07-14,ukmo,F,95.5
2026-07-13T02:48:23+00:00,KMIA,2026-07-12,ecmwf,F,90.6
2026-07-13T02:48:23+00:00,KMIA,2026-07-12,gem,F,93.9
2026-07-13T02:48:23+00:00,KMIA,2026-07-12,icon,F,90.2
2026-07-13T02:48:23+00:00,KMIA,2026-07-12,jma,F,93.4
2026-07-13T02:48:23+00:00,KMIA,2026-07-12,knmi,F,91.9
2026-07-13T02:48:23+00:00,KMIA,2026-07-12,meteofrance,F,94.2
2026-07-13T02:48:23+00:00,KMIA,2026-07-12,ukmo,F,92.6
2026-07-13T02:48:23+00:00,KMIA,2026-07-13,ecmwf,F,89.3
2026-07-13T02:48:23+00:00,KMIA,2026-07-13,gem,F,91.9
2026-07-13T02:48:23+00:00,KMIA,2026-07-13,icon,F,89.8
2026-07-13T02:48:23+00:00,KMIA,2026-07-13,jma,F,94.0
2026-07-13T02:48:23+00:00,KMIA,2026-07-13,knmi,F,90.2
2026-07-13T02:48:23+00:00,KMIA,2026-07-13,meteofrance,F,94.3
2026-07-13T02:48:23+00:00,KMIA,2026-07-13,ukmo,F,92.7
2026-07-13T02:48:23+00:00,KMIA,2026-07-14,ecmwf,F,91.0
2026-07-13T02:48:23+00:00,KMIA,2026-07-14,gem,F,94.4
2026-07-13T02:48:23+00:00,KMIA,2026-07-14,icon,F,91.7
2026-07-13T02:48:23+00:00,KMIA,2026-07-14,jma,F,92.8
2026-07-13T02:48:23+00:00,KMIA,2026-07-14,knmi,F,92.8
2026-07-13T02:48:23+00:00,KMIA,2026-07-14,meteofrance,F,93.7
2026-07-13T02:48:23+00:00,KMIA,2026-07-14,ukmo,F,95.9
2026-07-13T02:48:23+00:00,KORD,2026-07-12,gem,F,85.6
2026-07-13T02:48:23+00:00,KORD,2026-07-12,meteofrance,F,87.5
2026-07-13T02:48:23+00:00,KORD,2026-07-13,gem,F,94.0
2026-07-13T02:48:23+00:00,KORD,2026-07-13,meteofrance,F,94.6
2026-07-13T02:48:23+00:00,KORD,2026-07-14,gem,F,97.0
2026-07-13T02:48:23+00:00,KORD,2026-07-14,meteofrance,F,99.0
2026-07-13T02:48:23+00:00,KSFO,2026-07-12,gem,F,73.1
2026-07-13T02:48:23+00:00,KSFO,2026-07-12,jma,F,65.2
2026-07-13T02:48:23+00:00,KSFO,2026-07-12,knmi,F,77.6
2026-07-13T02:48:23+00:00,KSFO,2026-07-12,meteofrance,F,75.7
2026-07-13T02:48:23+00:00,KSFO,2026-07-12,ukmo,F,81.6
2026-07-13T02:48:23+00:00,KSFO,2026-07-13,gem,F,76.5
2026-07-13T02:48:23+00:00,KSFO,2026-07-13,jma,F,63.7
2026-07-13T02:48:23+00:00,KSFO,2026-07-13,knmi,F,77.3
2026-07-13T02:48:23+00:00,KSFO,2026-07-13,meteofrance,F,75.5
2026-07-13T02:48:23+00:00,KSFO,2026-07-13,ukmo,F,82.9
2026-07-13T02:48:23+00:00,KSFO,2026-07-14,gem,F,74.9
2026-07-13T02:48:23+00:00,KSFO,2026-07-14,jma,F,63.0
2026-07-13T02:48:23+00:00,KSFO,2026-07-14,knmi,F,79.1
2026-07-13T02:48:23+00:00,KSFO,2026-07-14,meteofrance,F,83.8
2026-07-13T02:48:23+00:00,KSFO,2026-07-14,ukmo,F,81.1
2026-07-13T02:48:23+00:00,LEMD,2026-07-12,ecmwf,C,33.3
2026-07-13T02:48:23+00:00,LEMD,2026-07-12,gefs,C,33.4
2026-07-13T02:48:23+00:00,LEMD,2026-07-12,gem,C,32.4
2026-07-13T02:48:23+00:00,LEMD,2026-07-12,icon,C,33.3
2026-07-13T02:48:23+00:00,LEMD,2026-07-12,jma,C,33.1
2026-07-13T02:48:23+00:00,LEMD,2026-07-12,knmi,C,33.3
2026-07-13T02:48:23+00:00,LEMD,2026-07-12,meteofrance,C,34.5
2026-07-13T02:48:23+00:00,LEMD,2026-07-12,ukmo,C,33.3
2026-07-13T02:48:23+00:00,LEMD,2026-07-13,ecmwf,C,32.7
2026-07-13T02:48:23+00:00,LEMD,2026-07-13,gefs,C,32.4
2026-07-13T02:48:23+00:00,LEMD,2026-07-13,gem,C,31.7
2026-07-13T02:48:23+00:00,LEMD,2026-07-13,icon,C,32.3
2026-07-13T02:48:23+00:00,LEMD,2026-07-13,jma,C,32.8
2026-07-13T02:48:23+00:00,LEMD,2026-07-13,knmi,C,32.8
2026-07-13T02:48:23+00:00,LEMD,2026-07-13,meteofrance,C,34.0
2026-07-13T02:48:23+00:00,LEMD,2026-07-13,ukmo,C,33.1
2026-07-13T02:48:23+00:00,LEMD,2026-07-14,ecmwf,C,36.7
2026-07-13T02:48:23+00:00,LEMD,2026-07-14,gefs,C,36.5
2026-07-13T02:48:23+00:00,LEMD,2026-07-14,gem,C,34.5
2026-07-13T02:48:23+00:00,LEMD,2026-07-14,icon,C,35.6
2026-07-13T02:48:23+00:00,LEMD,2026-07-14,jma,C,36.7
2026-07-13T02:48:23+00:00,LEMD,2026-07-14,knmi,C,36.8
2026-07-13T02:48:23+00:00,LEMD,2026-07-14,meteofrance,C,38.5
2026-07-13T02:48:23+00:00,LEMD,2026-07-14,ukmo,C,37.7
2026-07-13T02:48:23+00:00,LEMD,2026-07-15,ecmwf,C,35.6
2026-07-13T02:48:23+00:00,LEMD,2026-07-15,gefs,C,36.9
2026-07-13T02:48:23+00:00,LEMD,2026-07-15,gem,C,34.0
2026-07-13T02:48:23+00:00,LEMD,2026-07-15,icon,C,35.2
2026-07-13T02:48:23+00:00,LEMD,2026-07-15,jma,C,35.9
2026-07-13T02:48:23+00:00,LEMD,2026-07-15,knmi,C,35.6
2026-07-13T02:48:23+00:00,LEMD,2026-07-15,meteofrance,C,36.8
2026-07-13T02:48:23+00:00,LEMD,2026-07-15,ukmo,C,36.7
2026-07-13T02:48:23+00:00,LFPB,2026-07-12,gem,C,34.3
2026-07-13T02:48:23+00:00,LFPB,2026-07-12,jma,C,34.6
2026-07-13T02:48:23+00:00,LFPB,2026-07-12,knmi,C,35.2
2026-07-13T02:48:23+00:00,LFPB,2026-07-12,meteofrance,C,35.5
2026-07-13T02:48:23+00:00,LFPB,2026-07-12,ukmo,C,35.2
2026-07-13T02:48:23+00:00,LFPB,2026-07-13,gem,C,33.4
2026-07-13T02:48:23+00:00,LFPB,2026-07-13,jma,C,33.5
2026-07-13T02:48:23+00:00,LFPB,2026-07-13,knmi,C,34.9
2026-07-13T02:48:23+00:00,LFPB,2026-07-13,meteofrance,C,32.8
2026-07-13T02:48:23+00:00,LFPB,2026-07-13,ukmo,C,36.6
2026-07-13T02:48:23+00:00,LFPB,2026-07-14,gem,C,35.0
2026-07-13T02:48:23+00:00,LFPB,2026-07-14,jma,C,32.6
2026-07-13T02:48:23+00:00,LFPB,2026-07-14,knmi,C,35.2
2026-07-13T02:48:23+00:00,LFPB,2026-07-14,meteofrance,C,36.8
2026-07-13T02:48:23+00:00,LFPB,2026-07-14,ukmo,C,35.3
2026-07-13T02:48:23+00:00,LFPB,2026-07-15,gem,C,33.9
2026-07-13T02:48:23+00:00,LFPB,2026-07-15,jma,C,28.3
2026-07-13T02:48:23+00:00,LFPB,2026-07-15,knmi,C,31.9
2026-07-13T02:48:23+00:00,LFPB,2026-07-15,meteofrance,C,34.6
2026-07-13T02:48:23+00:00,LFPB,2026-07-15,ukmo,C,33.8
2026-07-13T02:48:23+00:00,LIMC,2026-07-12,ecmwf,C,31.7
2026-07-13T02:48:23+00:00,LIMC,2026-07-12,gefs,C,34.2
2026-07-13T02:48:23+00:00,LIMC,2026-07-12,icon,C,33.1
2026-07-13T02:48:23+00:00,LIMC,2026-07-12,jma,C,30.0
2026-07-13T02:48:23+00:00,LIMC,2026-07-12,knmi,C,32.1
2026-07-13T02:48:23+00:00,LIMC,2026-07-12,ukmo,C,33.4
2026-07-13T02:48:23+00:00,LIMC,2026-07-13,ecmwf,C,31.0
2026-07-13T02:48:23+00:00,LIMC,2026-07-13,gefs,C,34.6
2026-07-13T02:48:23+00:00,LIMC,2026-07-13,icon,C,33.1
2026-07-13T02:48:23+00:00,LIMC,2026-07-13,jma,C,27.8
2026-07-13T02:48:23+00:00,LIMC,2026-07-13,knmi,C,31.9
2026-07-13T02:48:23+00:00,LIMC,2026-07-13,ukmo,C,31.8
2026-07-13T02:48:23+00:00,LIMC,2026-07-14,ecmwf,C,31.9
2026-07-13T02:48:23+00:00,LIMC,2026-07-14,gefs,C,36.0
2026-07-13T02:48:23+00:00,LIMC,2026-07-14,icon,C,35.0
2026-07-13T02:48:23+00:00,LIMC,2026-07-14,jma,C,28.7
2026-07-13T02:48:23+00:00,LIMC,2026-07-14,knmi,C,34.7
2026-07-13T02:48:23+00:00,LIMC,2026-07-14,ukmo,C,34.7
2026-07-13T02:48:23+00:00,LIMC,2026-07-15,ecmwf,C,34.4
2026-07-13T02:48:23+00:00,LIMC,2026-07-15,gefs,C,37.4
2026-07-13T02:48:23+00:00,LIMC,2026-07-15,icon,C,34.8
2026-07-13T02:48:23+00:00,LIMC,2026-07-15,jma,C,29.8
2026-07-13T02:48:23+00:00,LIMC,2026-07-15,knmi,C,35.0
2026-07-13T02:48:23+00:00,LIMC,2026-07-15,ukmo,C,34.4
2026-07-13T02:48:23+00:00,NZWN,2026-07-13,ecmwf,C,11.6
2026-07-13T02:48:23+00:00,NZWN,2026-07-13,gefs,C,12.8
2026-07-13T02:48:23+00:00,NZWN,2026-07-13,icon,C,12.0
2026-07-13T02:48:23+00:00,NZWN,2026-07-14,ecmwf,C,14.0
2026-07-13T02:48:23+00:00,NZWN,2026-07-14,gefs,C,13.7
2026-07-13T02:48:23+00:00,NZWN,2026-07-14,icon,C,14.1
2026-07-13T02:48:23+00:00,NZWN,2026-07-15,ecmwf,C,14.2
2026-07-13T02:48:23+00:00,NZWN,2026-07-15,gefs,C,14.1
2026-07-13T02:48:23+00:00,NZWN,2026-07-15,icon,C,14.3
2026-07-13T02:48:23+00:00,RCSS,2026-07-13,gem,C,28.7
2026-07-13T02:48:23+00:00,RCSS,2026-07-13,icon,C,32.4
2026-07-13T02:48:23+00:00,RCSS,2026-07-13,jma,C,31.4
2026-07-13T02:48:23+00:00,RCSS,2026-07-13,knmi,C,32.5
2026-07-13T02:48:23+00:00,RCSS,2026-07-13,meteofrance,C,33.7
2026-07-13T02:48:23+00:00,RCSS,2026-07-13,ukmo,C,32.1
2026-07-13T02:48:23+00:00,RCSS,2026-07-14,gem,C,30.8
2026-07-13T02:48:23+00:00,RCSS,2026-07-14,icon,C,32.2
2026-07-13T02:48:23+00:00,RCSS,2026-07-14,jma,C,32.6
2026-07-13T02:48:23+00:00,RCSS,2026-07-14,knmi,C,32.7
2026-07-13T02:48:23+00:00,RCSS,2026-07-14,meteofrance,C,34.6
2026-07-13T02:48:23+00:00,RCSS,2026-07-14,ukmo,C,33.8
2026-07-13T02:48:23+00:00,RCSS,2026-07-15,gem,C,31.6
2026-07-13T02:48:23+00:00,RCSS,2026-07-15,icon,C,33.4
2026-07-13T02:48:23+00:00,RCSS,2026-07-15,jma,C,32.6
2026-07-13T02:48:23+00:00,RCSS,2026-07-15,knmi,C,33.7
2026-07-13T02:48:23+00:00,RCSS,2026-07-15,meteofrance,C,33.6
2026-07-13T02:48:23+00:00,RCSS,2026-07-15,ukmo,C,33.6
2026-07-13T02:48:23+00:00,RJTT,2026-07-13,ecmwf,C,33.3
2026-07-13T02:48:23+00:00,RJTT,2026-07-13,gefs,C,28.9
2026-07-13T02:48:23+00:00,RJTT,2026-07-13,gem,C,30.1
2026-07-13T02:48:23+00:00,RJTT,2026-07-13,icon,C,33.3
2026-07-13T02:48:23+00:00,RJTT,2026-07-13,jma,C,27.7
2026-07-13T02:48:23+00:00,RJTT,2026-07-13,knmi,C,29.6
2026-07-13T02:48:23+00:00,RJTT,2026-07-13,meteofrance,C,29.2
2026-07-13T02:48:23+00:00,RJTT,2026-07-13,ukmo,C,31.7
2026-07-13T02:48:23+00:00,RJTT,2026-07-14,ecmwf,C,35.5
2026-07-13T02:48:23+00:00,RJTT,2026-07-14,gefs,C,31.3
2026-07-13T02:48:23+00:00,RJTT,2026-07-14,gem,C,31.2
2026-07-13T02:48:23+00:00,RJTT,2026-07-14,icon,C,32.0
2026-07-13T02:48:23+00:00,RJTT,2026-07-14,jma,C,30.3
2026-07-13T02:48:23+00:00,RJTT,2026-07-14,knmi,C,31.5
2026-07-13T02:48:23+00:00,RJTT,2026-07-14,meteofrance,C,28.8
2026-07-13T02:48:23+00:00,RJTT,2026-07-14,ukmo,C,34.0
2026-07-13T02:48:23+00:00,RJTT,2026-07-15,ecmwf,C,34.5
2026-07-13T02:48:23+00:00,RJTT,2026-07-15,gefs,C,31.0
2026-07-13T02:48:23+00:00,RJTT,2026-07-15,gem,C,31.5
2026-07-13T02:48:23+00:00,RJTT,2026-07-15,icon,C,32.3
2026-07-13T02:48:23+00:00,RJTT,2026-07-15,jma,C,30.4
2026-07-13T02:48:23+00:00,RJTT,2026-07-15,knmi,C,31.2
2026-07-13T02:48:23+00:00,RJTT,2026-07-15,meteofrance,C,28.4
2026-07-13T02:48:23+00:00,RJTT,2026-07-15,ukmo,C,32.7
2026-07-13T02:48:23+00:00,RKSI,2026-07-13,ecmwf,C,29.6
2026-07-13T02:48:23+00:00,RKSI,2026-07-13,gefs,C,25.9
2026-07-13T02:48:23+00:00,RKSI,2026-07-13,icon,C,31.5
2026-07-13T02:48:23+00:00,RKSI,2026-07-13,meteofrance,C,29.0
2026-07-13T02:48:23+00:00,RKSI,2026-07-14,ecmwf,C,29.2
2026-07-13T02:48:23+00:00,RKSI,2026-07-14,gefs,C,25.2
2026-07-13T02:48:23+00:00,RKSI,2026-07-14,icon,C,31.1
2026-07-13T02:48:23+00:00,RKSI,2026-07-14,meteofrance,C,28.3
2026-07-13T02:48:23+00:00,RKSI,2026-07-15,ecmwf,C,26.5
2026-07-13T02:48:23+00:00,RKSI,2026-07-15,gefs,C,23.8
2026-07-13T02:48:23+00:00,RKSI,2026-07-15,icon,C,26.9
2026-07-13T02:48:23+00:00,RKSI,2026-07-15,meteofrance,C,25.9
